Symbol	RNA
Capn10	Capn10	Gene Expression
Gm28086	Gm28086	Gene Expression
Agxt	Agxt	Gene Expression
Sned1	Sned1	Gene Expression
Mterf4	Mterf4	Gene Expression
Pask	Pask	Gene Expression
Ppp1r7	Ppp1r7	Gene Expression
Hdlbp	Hdlbp	Gene Expression
Sept2	Sept2	Gene Expression
Farp2	Farp2	Gene Expression
Stk25	Stk25	Gene Expression
Bok	Bok	Gene Expression
Thap4	Thap4	Gene Expression
Atg4b	Atg4b	Gene Expression
Dtymk	Dtymk	Gene Expression
Ing5	Ing5	Gene Expression
D2hgdh	D2hgdh	Gene Expression
Fam174a	Fam174a	Gene Expression
D1Ertd622e	D1Ertd622e	Gene Expression
Ppip5k2	Ppip5k2	Gene Expression
Gin1	Gin1	Gene Expression
Pam	Pam	Gene Expression
Gm7967	Gm7967	Gene Expression
Rnf152	Rnf152	Gene Expression
Gm17634	Gm17634	Gene Expression
Pign	Pign	Gene Expression
2310035C23Rik	2310035C23Rik	Gene Expression
Tnfrsf11a	Tnfrsf11a	Gene Expression
Gm7160	Gm7160	Gene Expression
Zcchc2	Zcchc2	Gene Expression
Phlpp1	Phlpp1	Gene Expression
Bcl2	Bcl2	Gene Expression
Kdsr	Kdsr	Gene Expression
Vps4b	Vps4b	Gene Expression
Serpinb8	Serpinb8	Gene Expression
Dsel	Dsel	Gene Expression
Tsn	Tsn	Gene Expression
Nifk	Nifk	Gene Expression
Clasp1	Clasp1	Gene Expression
2900060B14Rik	2900060B14Rik	Gene Expression
Tfcp2l1	Tfcp2l1	Gene Expression
Inhbb	Inhbb	Gene Expression
Ralb	Ralb	Gene Expression
Gm27184	Gm27184	Gene Expression
Tmem185b	Tmem185b	Gene Expression
Epb41l5	Epb41l5	Gene Expression
Ptpn4	Ptpn4	Gene Expression
Tmem177	Tmem177	Gene Expression
Tmem37	Tmem37	Gene Expression
Dbi	Dbi	Gene Expression
3110009E18Rik	3110009E18Rik	Gene Expression
Steap3	Steap3	Gene Expression
Marco	Marco	Gene Expression
Insig2	Insig2	Gene Expression
Ccdc93	Ccdc93	Gene Expression
Ddx18	Ddx18	Gene Expression
Actr3	Actr3	Gene Expression
Slc35f5	Slc35f5	Gene Expression
Gpr39	Gpr39	Gene Expression
Nckap5	Nckap5	Gene Expression
Mgat5	Mgat5	Gene Expression
Tmem163	Tmem163	Gene Expression
Acmsd	Acmsd	Gene Expression
2900009J06Rik	2900009J06Rik	Gene Expression
Ccnt2	Ccnt2	Gene Expression
Rab3gap1	Rab3gap1	Gene Expression
Zranb3	Zranb3	Gene Expression
R3hdm1	R3hdm1	Gene Expression
Ubxn4	Ubxn4	Gene Expression
Mcm6	Mcm6	Gene Expression
Dars	Dars	Gene Expression
Gm15675	Gm15675	Gene Expression
Cd55	Cd55	Gene Expression
C4bp	C4bp	Gene Expression
Gm29427	Gm29427	Gene Expression
Pfkfb2	Pfkfb2	Gene Expression
Yod1	Yod1	Gene Expression
AA986860	AA986860	Gene Expression
Pigr	Pigr	Gene Expression
Mapkapk2	Mapkapk2	Gene Expression
Dyrk3	Dyrk3	Gene Expression
Eif2d	Eif2d	Gene Expression
Rassf5	Rassf5	Gene Expression
Ikbke	Ikbke	Gene Expression
Srgap2	Srgap2	Gene Expression
Fam72a	Fam72a	Gene Expression
Ctse	Ctse	Gene Expression
Pm20d1	Pm20d1	Gene Expression
Slc41a1	Slc41a1	Gene Expression
Rab29	Rab29	Gene Expression
Nucks1	Nucks1	Gene Expression
Slc45a3	Slc45a3	Gene Expression
Elk4	Elk4	Gene Expression
Mfsd4a	Mfsd4a	Gene Expression
Cdk18	Cdk18	Gene Expression
Klhdc8a	Klhdc8a	Gene Expression
Nuak2	Nuak2	Gene Expression
Tmcc2	Tmcc2	Gene Expression
Dstyk	Dstyk	Gene Expression
Rbbp5	Rbbp5	Gene Expression
Tmem81	Tmem81	Gene Expression
Cntn2	Cntn2	Gene Expression
Nfasc	Nfasc	Gene Expression
Mdm4	Mdm4	Gene Expression
Pik3c2b	Pik3c2b	Gene Expression
Ppp1r15b	Ppp1r15b	Gene Expression
Plekha6	Plekha6	Gene Expression
Gm19461	Gm19461	Gene Expression
Golt1a	Golt1a	Gene Expression
Ren1	Ren1	Gene Expression
Etnk2	Etnk2	Gene Expression
Sox13	Sox13	Gene Expression
Snrpe	Snrpe	Gene Expression
Zc3h11a	Zc3h11a	Gene Expression
Gm38394	Gm38394	Gene Expression
Atp2b4	Atp2b4	Gene Expression
Prelp	Prelp	Gene Expression
Btg2	Btg2	Gene Expression
Adora1	Adora1	Gene Expression
